time,dest,dir,len,etd
1417119121.65,Richmond,North,6,18
1417119182.0,Fremont,South,6,11
1417119182.0,Richmond,North,6,17
1417119241.37,Fremont,South,6,10
1417119241.37,Richmond,North,6,16
1417119301.68,Fremont,South,6,9
1417119301.68,Richmond,North,6,15
1417119362.06,Fremont,South,6,8
1417119362.06,Richmond,North,6,15
1417119421.38,Fremont,South,6,7
1417119421.38,Richmond,North,6,13
1417119481.74,Fremont,South,6,6
1417119481.74,Richmond,North,6,12
1417119541.09,Fremont,South,6,5
1417119541.09,Richmond,North,6,11
1417119601.44,Fremont,South,6,4
1417119601.44,Richmond,North,6,10
1417119661.79,Fremont,South,6,3
1417119661.79,Richmond,North,6,10
1417119721.13,Fremont,South,6,2
1417119721.13,Richmond,North,6,8
1417119781.5,Fremont,South,6,Leaving
1417119781.5,Richmond,North,6,7
1417119841.87,Fremont,South,6,20
1417119841.87,Richmond,North,6,7
1417119901.19,Fremont,South,6,19
1417119901.19,Richmond,North,6,5
1417119961.55,Fremont,South,6,18
1417119961.55,Richmond,North,6,5
1417120021.91,Fremont,South,6,17
1417120021.91,Richmond,North,6,3
1417120081.27,Fremont,South,6,16
1417120081.27,Richmond,North,6,3
1417120141.63,Fremont,South,6,15
1417120141.63,Richmond,North,6,2
1417120202.0,Fremont,South,6,14
1417120202.0,Richmond,North,6,Leaving
1417120261.35,Fremont,South,6,13
1417120261.35,Richmond,North,6,19
1417120321.71,Fremont,South,6,12
1417120321.71,Richmond,North,6,18
1417120382.08,Fremont,South,6,11
1417120382.08,Richmond,North,6,18
1417120441.45,Fremont,South,6,10
1417120441.45,Richmond,North,6,17
1417120501.82,Fremont,South,6,9
1417120501.82,Richmond,North,6,16
1417120561.13,Fremont,South,6,9
1417120561.13,Richmond,North,6,14
1417120621.47,Fremont,South,6,7
1417120621.47,Richmond,North,6,13
1417120681.83,Fremont,South,6,6
1417120681.83,Richmond,North,6,12
1417120741.18,Fremont,South,6,5
1417120741.18,Richmond,North,6,12
1417120801.51,Fremont,South,6,4
1417120801.51,Richmond,North,6,11
1417120861.87,Fremont,South,6,3
1417120861.87,Richmond,North,6,10
1417120921.18,Fremont,South,6,1
1417120921.18,Richmond,North,6,8
1417120981.54,Fremont,South,6,Leaving
1417120981.54,Richmond,North,6,7
